date,title,amount
2026-09-05,Lanchonete Exemplo,"33,70"
2026-09-03,App*Entrega Exemplo,"7,95"
2026-09-02,App*Mercado Exemplo,"26,98"
2026-08-31,App*Bar Exemplo,"22,89"
2026-08-22,Ajuste a crédito,"- 53,81"
2026-08-15,Dl*Corrida Exemplo,"14,10"
2026-08-15,Dl*Corrida Exemplo,"11,00"
2026-08-14,Cafe Exemplo,"11,00"
2026-08-14,Cafe Exemplo,"11,00"
2026-08-07,Barbearia Exemplo,"60,00"
2026-08-07,Pagamento recebido,"- 2.859,82"
2026-08-06,Consorcio Exemplo,"130,00"
2026-08-06,Supermercado Exemplo,"40,85"
2026-08-06,Padaria Exemplo,"6,02"
2026-08-06,Farmacia Exemplo1233,"22,64"
